images,label,size_kb,dimensions
./train/dent/1241.jpg,dent,133.768,"(1336, 1002)"
./train/dent/1245.jpg,dent,129.294,"(1108, 831)"
./train/dent/1246.jpg,dent,45.468,"(894, 670)"
./train/dent/1247.jpg,dent,62.022,"(814, 610)"
./train/dent/1250.jpg,dent,114.803,"(843, 632)"
./train/dent/1253.jpg,dent,135.102,"(1192, 894)"
./train/dent/1259.jpg,dent,159.175,"(1427, 1070)"
./train/dent/126.jpg,dent,121.972,"(1493, 1119)"
./train/dent/1263.jpg,dent,99.478,"(808, 606)"
./train/dent/1264.jpg,dent,83.103,"(828, 621)"
./train/dent/1266.jpg,dent,133.39,"(1418, 1063)"
./train/dent/1270.jpg,dent,96.367,"(1222, 916)"
./train/dent/1279.jpg,dent,145.304,"(1321, 990)"
./train/dent/128.jpg,dent,57.525,"(856, 642)"
./train/dent/1284.jpg,dent,137.562,"(813, 609)"
./train/dent/129.jpg,dent,83.426,"(875, 656)"
./train/dent/1291.jpg,dent,172.625,"(1282, 961)"
./train/dent/1296.jpg,dent,62.2,"(817, 612)"
./train/dent/130.jpg,dent,87.112,"(825, 618)"
./train/dent/1306.jpg,dent,54.649,"(829, 621)"
./train/dent/1315.jpg,dent,85.952,"(856, 642)"
./train/dent/132.jpg,dent,110.936,"(1154, 865)"
./train/dent/1321.jpg,dent,89.67,"(1248, 936)"
./train/dent/1327.jpg,dent,89.147,"(1396, 1047)"
./train/dent/1330.jpg,dent,72.871,"(874, 655)"
./train/dent/1333.jpg,dent,81.133,"(1135, 851)"
./train/dent/1340.jpg,dent,161.548,"(1392, 1044)"
./train/dent/1348.jpg,dent,97.332,"(888, 666)"
./train/dent/135.jpg,dent,155.583,"(1253, 939)"
./train/dent/1351.jpg,dent,159.024,"(1283, 962)"
./train/dent/1353.jpg,dent,118.811,"(1256, 942)"
./train/dent/1355.jpg,dent,108.506,"(846, 634)"
./train/dent/1359.jpg,dent,116.46,"(1158, 868)"
./train/dent/1366.jpg,dent,177.642,"(1215, 911)"
./train/dent/1367.jpg,dent,96.602,"(1138, 853)"
./train/dent/1376.jpg,dent,111.835,"(1340, 1005)"
./train/dent/1378.jpg,dent,74.942,"(898, 673)"
./train/dent/1380.jpg,dent,298.879,"(1254, 940)"
./train/dent/1385.jpg,dent,167.829,"(1275, 956)"
./train/dent/1387.jpg,dent,138.998,"(1498, 1123)"
./train/dent/139.jpg,dent,59.809,"(805, 603)"
./train/dent/1390.jpg,dent,58.768,"(850, 637)"
./train/dent/1395.jpg,dent,309.459,"(1478, 1108)"
./train/dent/1398.jpg,dent,66.002,"(891, 668)"
./train/dent/1402.jpg,dent,65.213,"(890, 667)"
./train/dent/1407.jpg,dent,141.029,"(1285, 963)"
./train/dent/1414.jpg,dent,85.405,"(842, 631)"
./train/dent/1416.jpg,dent,101.096,"(1273, 954)"
./train/dent/1418.jpg,dent,212.003,"(1472, 1104)"
./train/dent/1423.jpg,dent,90.087,"(1115, 836)"
./train/dent/1425.jpg,dent,174.378,"(1477, 1107)"
./train/dent/1437.jpg,dent,164.202,"(1356, 1017)"
./train/dent/1438.jpg,dent,134.944,"(1284, 963)"
./train/dent/1439.jpg,dent,105.204,"(838, 628)"
./train/dent/1440.jpg,dent,75.442,"(813, 609)"
./train/dent/1441.jpg,dent,98.605,"(1233, 924)"
./train/dent/1442.jpg,dent,80.036,"(873, 654)"
./train/dent/1446.jpg,dent,81.675,"(832, 624)"
./train/dent/1447.jpg,dent,65.197,"(860, 645)"
./train/dent/1449.jpg,dent,83.267,"(808, 606)"
./train/dent/1452.jpg,dent,65.942,"(812, 609)"
./train/dent/1457.jpg,dent,135.569,"(1461, 1095)"
./train/dent/1464.jpg,dent,53.637,"(888, 666)"
./train/dent/1465.jpg,dent,183.419,"(1494, 1120)"
./train/dent/1470.jpg,dent,198.464,"(1351, 1013)"
./train/dent/1474.jpg,dent,158.121,"(874, 655)"
./train/dent/1475.jpg,dent,77.037,"(804, 603)"
./train/dent/1476.jpg,dent,61.851,"(870, 652)"
./train/dent/1486.jpg,dent,99.182,"(1153, 864)"
./train/dent/1488.jpg,dent,118.675,"(1191, 893)"
./train/dent/1489.jpg,dent,312.272,"(1459, 1094)"
./train/dent/1490.jpg,dent,175.559,"(1358, 1018)"
./train/dent/1494.jpg,dent,115.426,"(802, 601)"
./train/dent/1495.jpg,dent,53.363,"(847, 635)"
./train/dent/1496.jpg,dent,183.465,"(1462, 1096)"
./train/dent/1498.jpg,dent,123.668,"(1313, 984)"
./train/dent/1499.jpg,dent,62.446,"(817, 612)"
./train/dent/1503.jpg,dent,62.73,"(834, 625)"
./train/dent/1517.jpg,dent,180.743,"(1139, 854)"
./train/dent/153.jpg,dent,97.43,"(897, 672)"
./train/dent/1531.jpg,dent,112.475,"(1328, 996)"
./train/dent/1533.jpg,dent,56.075,"(873, 654)"
./train/dent/154.jpg,dent,68.276,"(850, 637)"
./train/dent/1540.jpg,dent,70.721,"(815, 611)"
./train/dent/1542.jpg,dent,55.022,"(838, 628)"
./train/dent/155.jpg,dent,146.328,"(1347, 1010)"
./train/dent/1552.jpg,dent,103.428,"(818, 613)"
./train/dent/1557.jpg,dent,76.784,"(855, 641)"
./train/dent/1558.jpg,dent,218.808,"(1450, 1087)"
./train/dent/1559.jpg,dent,57.629,"(802, 601)"
./train/dent/1560.jpg,dent,235.566,"(1430, 1072)"
./train/dent/1561.jpg,dent,65.209,"(802, 601)"
./train/dent/1565.jpg,dent,327.047,"(1478, 1108)"
./train/dent/1567.jpg,dent,117.189,"(1454, 1090)"
./train/dent/1571.jpg,dent,56.897,"(807, 605)"
./train/dent/1576.jpg,dent,101.933,"(862, 646)"
./train/dent/1578.jpg,dent,176.828,"(1420, 1065)"
./train/dent/1585.jpg,dent,96.733,"(831, 623)"
./train/dent/1594.jpg,dent,98.807,"(1299, 974)"
./train/dent/1595.jpg,dent,114.288,"(1238, 928)"
./train/dent/1598.jpg,dent,52.612,"(848, 636)"
./train/dent/16.jpg,dent,53.559,"(841, 630)"
./train/dent/1600.jpg,dent,151.241,"(821, 615)"
./train/dent/1602.jpg,dent,147.217,"(840, 630)"
./train/dent/1603.jpg,dent,107.592,"(1318, 988)"
./train/dent/1611.jpg,dent,111.166,"(1110, 832)"
./train/dent/1612.jpg,dent,177.299,"(1280, 960)"
./train/dent/1617.jpg,dent,147.608,"(853, 639)"
./train/dent/162.jpg,dent,168.329,"(844, 633)"
./train/dent/1621.jpg,dent,128.544,"(891, 668)"
./train/dent/163.jpg,dent,65.97,"(821, 615)"
./train/dent/1632.jpg,dent,64.211,"(897, 672)"
./train/dent/1634.jpg,dent,93.736,"(839, 629)"
./train/dent/1635.jpg,dent,197.239,"(1380, 1035)"
./train/dent/164.jpg,dent,72.379,"(857, 642)"
./train/dent/1643.jpg,dent,169.346,"(1239, 929)"
./train/dent/1646.jpg,dent,161.805,"(1247, 935)"
./train/dent/1658.jpg,dent,125.96,"(1145, 858)"
./train/dent/1659.jpg,dent,43.694,"(832, 624)"
./train/dent/1669.jpg,dent,70.437,"(823, 617)"
./train/dent/1678.jpg,dent,74.963,"(850, 637)"
./train/dent/168.jpg,dent,64.854,"(827, 620)"
./train/dent/1681.jpg,dent,70.417,"(800, 600)"
./train/dent/1685.jpg,dent,102.941,"(1312, 984)"
./train/dent/1688.jpg,dent,67.974,"(896, 672)"
./train/dent/169.jpg,dent,303.477,"(1366, 1024)"
./train/dent/1690.jpg,dent,144.405,"(1203, 902)"
./train/dent/1693.jpg,dent,113.369,"(852, 639)"
./train/dent/1694.jpg,dent,319.092,"(1347, 1010)"
./train/dent/1697.jpg,dent,97.02,"(806, 604)"
./train/dent/1699.jpg,dent,134.337,"(1440, 1080)"
./train/dent/1704.jpg,dent,59.312,"(808, 606)"
./train/dent/1705.jpg,dent,161.3,"(1256, 942)"
./train/dent/1709.jpg,dent,96.796,"(851, 638)"
./train/dent/1711.jpg,dent,165.066,"(840, 630)"
./train/dent/1712.jpg,dent,99.613,"(866, 649)"
./train/dent/1714.jpg,dent,65.385,"(814, 610)"
./train/dent/1721.jpg,dent,99.801,"(1314, 985)"
./train/dent/1722.jpg,dent,105.521,"(864, 648)"
./train/dent/1728.jpg,dent,81.557,"(874, 655)"
./train/dent/1734.jpg,dent,82.414,"(894, 670)"
./train/dent/1736.jpg,dent,93.241,"(835, 626)"
./train/dent/1737.jpg,dent,105.561,"(1111, 833)"
./train/dent/1742.jpg,dent,237.074,"(1458, 1093)"
./train/dent/1743.jpg,dent,231.259,"(1248, 936)"
./train/dent/1755.jpg,dent,100.186,"(868, 651)"
./train/dent/176.jpg,dent,155.127,"(879, 659)"
./train/dent/1764.jpg,dent,199.833,"(1382, 1036)"
./train/dent/1768.jpg,dent,110.379,"(1156, 867)"
./train/dent/1779.jpg,dent,86.642,"(811, 608)"
./train/dent/178.jpg,dent,99.524,"(1247, 935)"
./train/dent/1781.jpg,dent,159.013,"(899, 674)"
./train/dent/1787.jpg,dent,62.892,"(838, 628)"
./train/dent/1791.jpg,dent,54.356,"(816, 612)"
./train/dent/1793.jpg,dent,118.928,"(1363, 1022)"
./train/dent/1795.jpg,dent,187.609,"(1473, 1104)"
./train/dent/1815.jpg,dent,127.409,"(863, 647)"
./train/dent/1819.jpg,dent,93.157,"(1172, 879)"
./train/dent/1823.jpg,dent,59.929,"(892, 669)"
./train/dent/1826.jpg,dent,231.478,"(1180, 885)"
./train/dent/183.jpg,dent,98.346,"(899, 674)"
./train/dent/1842.jpg,dent,90.252,"(858, 643)"
./train/dent/1847.jpg,dent,231.31,"(1313, 984)"
./train/dent/1848.jpg,dent,68.472,"(858, 643)"
./train/dent/1850.jpg,dent,161.076,"(1231, 923)"
./train/dent/1851.jpg,dent,64.326,"(829, 621)"
./train/dent/1853.jpg,dent,48.049,"(843, 632)"
./train/dent/1858.jpg,dent,106.365,"(845, 633)"
./train/dent/1859.jpg,dent,286.714,"(1277, 957)"
./train/dent/1865.jpg,dent,94.991,"(859, 644)"
./train/dent/1866.jpg,dent,128.181,"(810, 607)"
./train/dent/1871.jpg,dent,287.596,"(1270, 952)"
./train/dent/1874.jpg,dent,140.857,"(1186, 889)"
./train/dent/1879.jpg,dent,101.972,"(1422, 1066)"
./train/dent/1880.jpg,dent,76.925,"(839, 629)"
./train/dent/1881.jpg,dent,86.318,"(837, 627)"
./train/dent/1884.jpg,dent,90.036,"(1265, 948)"
./train/dent/1885.jpg,dent,83.27,"(810, 607)"
./train/dent/1888.jpg,dent,191.989,"(1188, 891)"
./train/dent/1892.jpg,dent,91.647,"(899, 674)"
./train/dent/1901.jpg,dent,144.017,"(854, 640)"
./train/dent/1902.jpg,dent,167.841,"(1194, 895)"
./train/dent/1907.jpg,dent,102.269,"(863, 647)"
./train/dent/191.jpg,dent,66.644,"(856, 642)"
./train/dent/1912.jpg,dent,145.562,"(1330, 997)"
./train/dent/1914.jpg,dent,138.309,"(1301, 975)"
./train/dent/1915.jpg,dent,133.054,"(801, 600)"
./train/dent/192.jpg,dent,171.267,"(1220, 915)"
./train/dent/1924.jpg,dent,131.543,"(1440, 1080)"
./train/dent/1926.jpg,dent,54.825,"(801, 600)"
./train/dent/1930.jpg,dent,98.128,"(801, 600)"
./train/dent/1931.jpg,dent,91.818,"(872, 654)"
./train/dent/1933.jpg,dent,121.944,"(1115, 836)"
./train/dent/1937.jpg,dent,79.315,"(873, 654)"
./train/dent/1940.jpg,dent,59.772,"(804, 603)"
./train/dent/1946.jpg,dent,154.717,"(1298, 973)"
./train/dent/1948.jpg,dent,95.278,"(1134, 850)"
./train/dent/1951.jpg,dent,94.725,"(1134, 850)"
./train/dent/1955.jpg,dent,72.934,"(856, 642)"
./train/dent/196.jpg,dent,131.299,"(1383, 1037)"
./train/dent/1962.jpg,dent,91.906,"(1171, 878)"
./train/dent/1971.jpg,dent,94.495,"(833, 624)"
./train/dent/1972.jpg,dent,144.702,"(836, 627)"
./train/dent/198.jpg,dent,79.896,"(853, 639)"
./train/dent/1983.jpg,dent,66.524,"(805, 603)"
./train/dent/1987.jpg,dent,126.89,"(836, 627)"
./train/dent/1993.jpg,dent,93.971,"(1138, 853)"
./train/dent/1994.jpg,dent,186.938,"(1333, 999)"
./train/dent/1996.jpg,dent,46.995,"(860, 645)"
./train/dent/1997.jpg,dent,145.12,"(1470, 1102)"
./train/dent/2.jpg,dent,66.947,"(836, 627)"
./train/dent/20.jpg,dent,105.689,"(881, 660)"
./train/dent/2001.jpg,dent,103.925,"(863, 647)"
./train/dent/2002.jpg,dent,214.422,"(1427, 1070)"
./train/dent/2006.jpg,dent,100.89,"(1210, 907)"
./train/dent/2007.jpg,dent,41.865,"(873, 654)"
./train/dent/2009.jpg,dent,69.752,"(845, 633)"
./train/dent/2013.jpg,dent,127.051,"(1468, 1101)"
./train/dent/2021.jpg,dent,78.294,"(885, 663)"
./train/dent/2023.jpg,dent,130.506,"(805, 603)"
./train/dent/2024.jpg,dent,64.528,"(801, 600)"
./train/dent/2026.jpg,dent,332.115,"(1475, 1106)"
./train/dent/203.jpg,dent,67.842,"(843, 632)"
./train/dent/2030.jpg,dent,184.286,"(1338, 1003)"
./train/dent/2031.jpg,dent,130.057,"(1160, 870)"
./train/dent/2032.jpg,dent,194.159,"(1333, 999)"
./train/dent/2044.jpg,dent,118.842,"(1288, 966)"
./train/dent/205.jpg,dent,75.071,"(1201, 900)"
./train/dent/2050.jpg,dent,52.229,"(817, 612)"
./train/dent/2061.jpg,dent,157.177,"(1398, 1048)"
./train/dent/2070.jpg,dent,64.027,"(808, 606)"
./train/dent/2071.jpg,dent,150.944,"(831, 623)"
./train/dent/2074.jpg,dent,156.799,"(1432, 1074)"
./train/dent/2079.jpg,dent,93.92,"(855, 641)"
./train/dent/2080.jpg,dent,104.663,"(865, 648)"
./train/dent/2082.jpg,dent,91.182,"(1200, 900)"
./train/dent/2085.jpg,dent,110.016,"(806, 604)"
./train/dent/2094.jpg,dent,129.885,"(885, 663)"
./train/dent/2096.jpg,dent,64.968,"(838, 628)"
./train/dent/2099.jpg,dent,79.761,"(881, 660)"
./train/dent/2104.jpg,dent,57.334,"(849, 636)"
./train/dent/2119.jpg,dent,53.311,"(844, 633)"
./train/dent/213.jpg,dent,74.368,"(1114, 835)"
./train/dent/2130.jpg,dent,104.473,"(1133, 849)"
./train/dent/2134.jpg,dent,157.885,"(890, 667)"
./train/dent/2135.jpg,dent,91.212,"(1312, 984)"
./train/dent/2136.jpg,dent,102.18,"(1366, 1024)"
./train/dent/2139.jpg,dent,50.798,"(857, 642)"
./train/dent/2144.jpg,dent,69.279,"(853, 639)"
./train/dent/2145.jpg,dent,65.716,"(864, 648)"
./train/dent/2149.jpg,dent,94.548,"(871, 653)"
./train/dent/215.jpg,dent,226.465,"(1458, 1093)"
./train/dent/2154.jpg,dent,66.793,"(865, 648)"
./train/dent/216.jpg,dent,91.952,"(1161, 870)"
./train/dent/2160.jpg,dent,88.098,"(828, 621)"
./train/dent/2162.jpg,dent,327.445,"(1490, 1117)"
./train/dent/2166.jpg,dent,66.854,"(821, 615)"
./train/dent/2168.jpg,dent,150.519,"(1254, 940)"
./train/dent/2179.jpg,dent,172.581,"(1491, 1118)"
./train/dent/218.jpg,dent,161.221,"(1429, 1071)"
./train/dent/2180.jpg,dent,89.2,"(1206, 904)"
./train/dent/2181.jpg,dent,116.271,"(815, 611)"
./train/dent/2187.jpg,dent,94.412,"(871, 653)"
./train/dent/2188.jpg,dent,107.706,"(1386, 1039)"
./train/dent/2189.jpg,dent,117.322,"(1225, 918)"
./train/dent/219.jpg,dent,118.293,"(855, 641)"
./train/dent/2196.jpg,dent,285.272,"(1231, 923)"
./train/dent/2200.jpg,dent,137.364,"(883, 662)"
./train/dent/2201.jpg,dent,85.69,"(807, 605)"
./train/dent/2202.jpg,dent,89.515,"(1113, 834)"
./train/dent/2205.jpg,dent,117.174,"(1448, 1086)"
./train/dent/2209.jpg,dent,121.128,"(1426, 1069)"
./train/dent/2212.jpg,dent,121.485,"(1412, 1059)"
./train/dent/2216.jpg,dent,158.086,"(1348, 1011)"
./train/dent/2219.jpg,dent,60.327,"(885, 663)"
./train/dent/222.jpg,dent,133.173,"(1136, 852)"
./train/dent/2222.jpg,dent,166.352,"(1144, 858)"
./train/dent/2228.jpg,dent,92.332,"(1152, 864)"
./train/dent/2229.jpg,dent,82.847,"(1327, 995)"
./train/dent/223.jpg,dent,62.792,"(897, 672)"
./train/dent/2232.jpg,dent,99.716,"(852, 639)"
./train/dent/2233.jpg,dent,183.013,"(1476, 1107)"
./train/dent/2234.jpg,dent,101.564,"(1188, 891)"
./train/dent/2238.jpg,dent,85.142,"(805, 603)"
./train/dent/2239.jpg,dent,127.793,"(1391, 1043)"
./train/dent/2240.jpg,dent,148.279,"(1325, 993)"
./train/dent/2241.jpg,dent,57.859,"(840, 630)"
./train/dent/2257.jpg,dent,102.94,"(1214, 910)"
./train/dent/2261.jpg,dent,107.709,"(1245, 933)"
./train/dent/2264.jpg,dent,56.251,"(849, 636)"
./train/dent/2269.jpg,dent,64.78,"(841, 630)"
./train/dent/2271.jpg,dent,120.104,"(1281, 960)"
./train/dent/2273.jpg,dent,68.592,"(882, 661)"
./train/dent/2276.jpg,dent,93.373,"(835, 626)"
./train/dent/2279.jpg,dent,61.532,"(815, 611)"
./train/dent/2285.jpg,dent,81.313,"(801, 600)"
./train/dent/2295.jpg,dent,102.817,"(837, 627)"
./train/dent/2299.jpg,dent,62.09,"(843, 632)"
./train/dent/2313.jpg,dent,101.456,"(1189, 891)"
./train/dent/2315.jpg,dent,93.993,"(893, 669)"
./train/dent/2316.jpg,dent,92.086,"(1122, 841)"
./train/dent/2318.jpg,dent,99.525,"(1111, 833)"
./train/dent/2319.jpg,dent,123.729,"(831, 623)"
./train/dent/2323.jpg,dent,150.535,"(1118, 838)"
./train/dent/2333.jpg,dent,65.468,"(850, 637)"
./train/dent/2338.jpg,dent,170.297,"(1484, 1113)"
./train/dent/2347.jpg,dent,181.838,"(1415, 1061)"
./train/dent/2349.jpg,dent,218.842,"(1326, 994)"
./train/dent/235.jpg,dent,74.869,"(829, 621)"
./train/dent/2355.jpg,dent,87.64,"(1117, 837)"
./train/dent/236.jpg,dent,61.624,"(819, 614)"
./train/dent/2362.jpg,dent,74.977,"(861, 645)"
./train/dent/2372.jpg,dent,93.327,"(868, 651)"
./train/dent/2373.jpg,dent,104.552,"(1334, 1000)"
./train/dent/2374.jpg,dent,118.997,"(1305, 978)"
./train/dent/2387.jpg,dent,122.663,"(1256, 942)"
./train/dent/239.jpg,dent,124.139,"(1439, 1079)"
./train/dent/2392.jpg,dent,213.973,"(1329, 996)"
./train/dent/2394.jpg,dent,320.957,"(1367, 1025)"
./train/dent/2407.jpg,dent,75.837,"(899, 674)"
./train/dent/241.jpg,dent,142.054,"(802, 601)"
./train/dent/2411.jpg,dent,137.206,"(1336, 1002)"
./train/dent/2414.jpg,dent,60.19,"(817, 612)"
./train/dent/2415.jpg,dent,78.573,"(875, 656)"
./train/dent/2416.jpg,dent,65.249,"(846, 634)"
./train/dent/2417.jpg,dent,83.867,"(852, 639)"
./train/dent/2419.jpg,dent,133.083,"(897, 672)"
./train/dent/242.jpg,dent,169.646,"(1254, 940)"
./train/dent/2421.jpg,dent,91.298,"(867, 650)"
./train/dent/2426.jpg,dent,144.632,"(1279, 959)"
./train/dent/2429.jpg,dent,62.284,"(870, 652)"
./train/dent/2430.jpg,dent,211.187,"(1428, 1071)"
./train/dent/2434.jpg,dent,60.904,"(805, 603)"
./train/dent/2436.jpg,dent,279.711,"(1216, 912)"
./train/dent/244.jpg,dent,61.712,"(822, 616)"
./train/dent/2440.jpg,dent,76.028,"(1158, 868)"
./train/dent/2451.jpg,dent,142.603,"(805, 603)"
./train/dent/2466.jpg,dent,75.292,"(1103, 827)"
./train/dent/2476.jpg,dent,84.675,"(1124, 843)"
./train/dent/2477.jpg,dent,297.788,"(1495, 1121)"
./train/dent/2480.jpg,dent,128.886,"(1248, 936)"
./train/dent/2481.jpg,dent,172.968,"(1464, 1098)"
./train/dent/2484.jpg,dent,388.702,"(1385, 1038)"
./train/dent/2487.jpg,dent,169.367,"(1278, 958)"
./train/dent/2488.jpg,dent,126.094,"(838, 628)"
./train/dent/2490.jpg,dent,86.921,"(898, 673)"
./train/dent/25.jpg,dent,102.759,"(806, 604)"
./train/dent/250.jpg,dent,69.563,"(886, 664)"
./train/dent/2503.jpg,dent,64.806,"(811, 608)"
./train/dent/2509.jpg,dent,197.487,"(1122, 841)"
./train/dent/2518.jpg,dent,143.009,"(1321, 990)"
./train/dent/252.jpg,dent,55.188,"(874, 655)"
./train/dent/2521.jpg,dent,97.051,"(824, 618)"
./train/dent/2527.jpg,dent,163.588,"(1254, 940)"
./train/dent/2538.jpg,dent,232.477,"(1438, 1078)"
./train/dent/254.jpg,dent,109.216,"(1305, 978)"
./train/dent/2547.jpg,dent,108.268,"(840, 630)"
./train/dent/2548.jpg,dent,64.065,"(811, 608)"
./train/dent/2551.jpg,dent,91.67,"(867, 650)"
./train/dent/2559.jpg,dent,160.568,"(1182, 886)"
./train/dent/256.jpg,dent,97.723,"(834, 625)"
./train/dent/2562.jpg,dent,315.199,"(1390, 1042)"
./train/dent/2566.jpg,dent,73.275,"(861, 645)"
./train/dent/2568.jpg,dent,68.646,"(856, 642)"
./train/dent/2569.jpg,dent,92.752,"(862, 646)"
./train/dent/2572.jpg,dent,144.224,"(879, 659)"
./train/dent/2575.jpg,dent,63.601,"(807, 605)"
./train/dent/2579.jpg,dent,135.78,"(1195, 896)"
./train/dent/258.jpg,dent,110.284,"(1327, 995)"
./train/dent/2583.jpg,dent,60.884,"(801, 600)"
./train/dent/2586.jpg,dent,146.035,"(864, 648)"
./train/dent/2591.jpg,dent,50.496,"(847, 635)"
./train/dent/2592.jpg,dent,294.577,"(1232, 924)"
./train/dent/2598.jpg,dent,100.756,"(806, 604)"
./train/dent/2600.jpg,dent,72.373,"(830, 622)"
./train/dent/2601.jpg,dent,53.382,"(880, 660)"
./train/dent/2603.jpg,dent,129.309,"(1445, 1083)"
./train/dent/261.jpg,dent,187.649,"(1291, 968)"
./train/dent/262.jpg,dent,92.988,"(811, 608)"
./train/dent/2625.jpg,dent,111.288,"(1236, 927)"
./train/dent/2626.jpg,dent,287.353,"(1435, 1076)"
./train/dent/263.jpg,dent,294.801,"(1318, 988)"
./train/dent/2631.jpg,dent,108.407,"(1251, 938)"
./train/dent/2637.jpg,dent,123.926,"(1421, 1065)"
./train/dent/2638.jpg,dent,135.829,"(1489, 1116)"
./train/dent/2639.jpg,dent,112.832,"(1406, 1054)"
./train/dent/264.jpg,dent,146.095,"(1276, 957)"
./train/dent/2640.jpg,dent,168.28,"(803, 602)"
./train/dent/2641.jpg,dent,131.341,"(899, 674)"
./train/dent/2648.jpg,dent,162.149,"(1221, 915)"
./train/dent/2651.jpg,dent,130.27,"(1250, 937)"
./train/dent/2653.jpg,dent,75.556,"(880, 660)"
./train/dent/2656.jpg,dent,52.661,"(846, 634)"
./train/dent/2662.jpg,dent,68.092,"(900, 675)"
./train/dent/2663.jpg,dent,258.427,"(1202, 901)"
./train/dent/2664.jpg,dent,128.083,"(814, 610)"
./train/dent/2665.jpg,dent,123.67,"(895, 671)"
./train/dent/2667.jpg,dent,230.438,"(1317, 987)"
./train/dent/2669.jpg,dent,248.82,"(1366, 1024)"
./train/dent/2673.jpg,dent,125.087,"(1156, 867)"
./train/dent/2674.jpg,dent,98.574,"(1185, 888)"
./train/dent/269.jpg,dent,65.398,"(871, 653)"
./train/dent/2693.jpg,dent,90.03,"(881, 660)"
./train/dent/2699.jpg,dent,227.178,"(1400, 1050)"
./train/dent/2700.jpg,dent,64.574,"(842, 631)"
./train/dent/2701.jpg,dent,72.493,"(847, 635)"
./train/dent/2704.jpg,dent,66.113,"(810, 607)"
./train/dent/2705.jpg,dent,61.985,"(846, 634)"
./train/dent/2706.jpg,dent,115.288,"(1470, 1102)"
./train/dent/2720.jpg,dent,126.431,"(1295, 971)"
./train/dent/2721.jpg,dent,53.599,"(835, 626)"
./train/dent/2725.jpg,dent,152.106,"(1467, 1100)"
./train/dent/2733.jpg,dent,170.513,"(1178, 883)"
./train/dent/2736.jpg,dent,106.447,"(1436, 1077)"
./train/dent/2748.jpg,dent,93.451,"(837, 627)"
./train/dent/2755.jpg,dent,189.649,"(1289, 966)"
./train/dent/2758.jpg,dent,50.493,"(874, 655)"
./train/dent/2762.jpg,dent,123.515,"(1261, 945)"
./train/dent/2766.jpg,dent,76.141,"(881, 660)"
